la_code,la_name,spend_resid_median,spend_resid_lag_median,combined_spend_resid_median,spend_resid_q89_lb,spend_resid_lag_q89_lb,combined_spend_resid_q89_lb,spend_resid_q89_ub,spend_resid_lag_q89_ub,combined_spend_resid_q89_ub
E06000032,Luton,-0.019816659803817013,0.006681133680933081,-0.031121404023706976,-0.27070781087901574,-0.3250376884562585,-0.447348106040048,0.15533659200204608,0.35516339916655487,0.3711463548357655
E06000033,Southend-on-Sea,-0.0024036939791003504,-0.05454193414505076,-0.06085586591881882,-0.23456604151198446,-0.4442651335534075,-0.5029632331275173,0.1994766946264491,0.29377825005823754,0.3581339320494103
E06000034,Thurrock,-0.07805025848253762,0.024220694350746717,-0.06605236473956302,-0.3145729566373732,-0.1805506284246215,-0.36139472168273673,0.07067897557041884,0.23570461588857594,0.21902425040073778
E06000035,Medway,0.013348903769624498,0.004219854217204863,0.023697250919827988,-0.12330740523742063,-0.167874290809682,-0.19441006728792962,0.16632556144869765,0.1871952091507558,0.2444228053473888
E06000036,Bracknell Forest,-0.018181756048117552,-0.0753641543673742,-0.10632841192640147,-0.2622357958694523,-0.4859672492551494,-0.5601752603263207,0.18172208892904707,0.2584335836625266,0.29110899025104475
E06000037,West Berkshire,-0.00980017501377041,-0.042847655507701574,-0.05406447459969596,-0.25251187798676644,-0.39887112692125154,-0.4921015882268387,0.18958467893095693,0.28058915561143116,0.31178475549694123
E06000038,Reading,0.010108788206533992,-0.02805120827047814,-0.024004111238334215,-0.1798338909238114,-0.36932111550124574,-0.4119506558703028,0.23832103546063144,0.3003840657127126,0.3941815267513018
E06000039,Slough,0.0018305092650363268,0.04302409686610781,0.0550249915371475,-0.18444047596378163,-0.18507920720626275,-0.2501746962065051,0.21305571063590012,0.28595702819517704,0.3574835127496152
E06000040,Windsor and Maidenhead,-6.115681409866814e-4,0.026813320031968364,0.01853148885684186,-0.2237309245921605,-0.34178576684747514,-0.41165187072701986,0.20917508220502395,0.4039117459529494,0.43406276392875176
E06000041,Wokingham,0.02865092389392901,-0.030472378884960197,0.0037445135740288953,-0.1517862316305583,-0.376695284706652,-0.3971586547947005,0.2833895826403371,0.30274458280637295,0.42900436606625597
E06000042,Milton Keynes,0.0053284461170435915,0.013403423473979059,0.022571734238742938,-0.20360231938513562,-0.3230357894949399,-0.3720740119498761,0.2469170343608453,0.36644393470511133,0.4581062368450802
E06000043,Brighton and Hove,0.025667531934987872,0.10204058764017723,0.14419303329120622,-0.15016462968590027,-0.17480384737722937,-0.21243230932048834,0.25357855771289717,0.4181578050800828,0.5093892622347886
E06000044,Portsmouth,-0.042092856067063145,-0.04675692366299737,-0.1039830628378138,-0.29724867829293755,-0.37784634772280656,-0.5206219599433961,0.1190196730250259,0.2808387078995326,0.27279751373244815
E06000045,Southampton,0.0035679200433918925,0.09913259695471754,0.10128730838282834,-0.19088417114564574,-0.16112880295219476,-0.23644412540176046,0.21303838585616497,0.3925993483093296,0.4824060425520823
E06000046,Isle of Wight,-0.003743020941811703,-0.004518534560441613,-0.016996943615907964,-0.19966784728769735,-0.3622005989652839,-0.4229416719635496,0.2038196382743359,0.3283964790120278,0.39494997897235706
E06000047,County Durham,-0.025910210982654183,-0.09645558845994046,-0.14522806796948873,-0.26091809422803447,-0.46000928024690724,-0.5607691892200426,0.17412400928492208,0.21211553327033514,0.24262813198411423
E06000049,Cheshire East,-0.001905917658225509,-0.00788447670240968,-0.02188554756732003,-0.23503689739483188,-0.35779923342111586,-0.4338063948748163,0.20255658139478455,0.31353098136046814,0.3759414432685785
